PacketNumber,Latency
0.0,-1642849.6668338776
1.0,-1641916.6357517242
2.0,-1641912.2865200043
3.0,-1641912.0464324951
4.0,-1641900.475025177
5.0,-1641900.3279209137
6.0,-1641912.1923446655
7.0,-1641916.0537719727
8.0,-1641924.18050766
9.0,-1641928.5414218903
10.0,-1641928.2381534576
11.0,-1641936.4798069
12.0,-1641932.2533607483
13.0,-1641932.538509369
14.0,-1641936.4562034607
15.0,-1641928.4768104553
16.0,-1641920.4802513123
17.0,-1641904.5519828796
18.0,-1641904.3476581573
19.0,-1641911.9446277618
20.0,-1641912.4760627747
21.0,-1641916.4481163025
22.0,-1641920.381784439
23.0,-1641924.4496822357
24.0,-1641928.3483028412
25.0,-1641916.3205623627
26.0,-1641924.2169857025
27.0,-1641932.4011802673
28.0,-1641932.2445392609
29.0,-1641928.5237789154
30.0,-1641932.547569275
31.0,-1641936.4714622498
32.0,-1641932.223558426
33.0,-1641936.1109733582
34.0,-1641944.3924427032
35.0,-1641944.5781707764
36.0,-1641948.4605789185
37.0,-1641952.294588089
38.0,-1641944.259405136
39.0,-1641940.330505371
40.0,-1641940.0222301483
41.0,-1641940.4702186584
42.0,-1641928.5831451416
43.0,-1641924.4232177734
44.0,-1641932.0344924927
45.0,-1641944.2434310913
46.0,-1641948.5318660736
47.0,-1641956.0730457306
48.0,-1641964.5009040833
49.0,-1641976.5617847443
50.0,-1641988.5275363922
51.0,-1641996.5105056763
52.0,-1642004.4741630554
53.0,-1642008.574962616
54.0,-1642012.0959281921
55.0,-1642012.1438503265
56.0,-1642016.254901886
57.0,-1642020.6282138824
58.0,-1642028.3482074738
59.0,-1642032.3786735535
60.0,-1642040.4591560364
61.0,-1642040.3661727905
62.0,-1642048.0115413666
63.0,-1642052.2992610931
64.0,-1642056.308746338
65.0,-1642063.9646053314
66.0,-1642072.0963478088
67.0,-1642072.078704834
68.0,-1642071.3806152344
69.0,-1642076.5500068665
70.0,-1642080.1582336426
71.0,-1642084.1181278229
72.0,-1642084.4962596893
73.0,-1642091.7925834656
74.0,-1642084.3632221222
75.0,-1642080.1916122437
76.0,-1642084.5520496368
77.0,-1642092.0379161835
78.0,-1642096.2007045746
79.0,-1642103.9414405823
80.0,-1642112.565279007
81.0,-1642112.1697425842
82.0,-1642124.196767807
83.0,-1642128.6852359772
84.0,-1642128.4458637238
85.0,-1642132.2965621948
86.0,-1642136.3303661346
87.0,-1642144.6170806885
88.0,-1642152.4879932404
89.0,-1642160.323381424
90.0,-1642164.5815372467
91.0,-1642164.5176410675
92.0,-1642180.6046962738
93.0,-1642184.5302581787
94.0,-1642192.3081874847
95.0,-1642196.4275836945
96.0,-1642196.4616775513
97.0,-1642195.987701416
98.0,-1642212.4967575073
99.0,-1642212.557554245
100.0,-1642208.5015773773
